"Year","scenario","Zoop_Mean","Zoop_SD","Zoop_Min","Zoop_Max","Zoop_Q25","Zoop_Q75","Fish_Mean","Fish_SD","Fish_Min","Fish_Max","Fish_Q25","Fish_Q75","TCB_Mean","TCB_SD","TCB_Min","TCB_Max","TCB_Q25","TCB_Q75","n_models"
1970,"historical",0.342490070691836,1.41309918689953,-0.992629435948616,1.82241749893348,-0.397473643428985,1.01004982401206,0.778372795800998,2.26555035311917,-1.4887221798647,3.04237536058379,-0.353628486590399,1.91192028363385,0.60514158842994,1.931420181242,-1.29909221685595,2.56264604202708,-0.373610638368632,1.55725849107288,3
1971,"historical",0.667890301112854,0.473630828069032,0.374671225841369,1.21430365528873,0.394683624024915,0.814499838748596,0.809453252534463,0.668032993380658,0.371026408969035,1.57830701797479,0.425026369814298,1.02866667431718,0.753771361965518,0.591505810695457,0.372419629283479,1.43516839768055,0.413072844108004,0.944447228306537,3
1972,"historical",-0.606808999207243,2.94240752876825,-3.70980623091076,2.1431545516269,-1.98179077462431,0.944689616644515,-0.437882031216616,3.00577751200863,-3.56634410655917,2.42797961229269,-1.87081285297127,1.12634900645466,-0.503268136033055,2.98205409852151,-3.62275833963832,2.31910608737141,-1.91445524773529,1.05647696576958,3
1973,"historical",1.25337324237732,2.20866145532816,-1.20626841854287,3.06698136214032,0.346569182495827,2.48319407283742,1.55497966157471,2.41414552121641,-1.21975456247921,3.1741572285151,0.745390878104508,2.94234677360166,1.43677042417751,2.32577489721179,-1.21445063786959,3.13318957513714,0.588560848697691,2.76238095520105,3
1974,"historical",0.774829029755601,1.15120750946729,-0.355017888143776,1.9462697485082,0.189108670379302,1.33975248870529,1.24198602987758,0.9584519422506,0.33054845796602,2.24138789445998,0.742285097586387,1.69770481583337,1.05935268460263,1.03564442663468,0.0609241508376377,2.12857986856893,0.524739092619474,1.55856695148512,3
1975,"historical",0.927454479928886,0.992934290895927,-0.15912945013503,1.78763763801003,0.497362900888311,1.47074644496084,0.992108836219155,0.952238280976277,0.115662637174938,2.00534436073081,0.485491073963325,1.43033193574126,0.965586331954328,0.956077861999009,0.00759049132685064,1.91973460237836,0.488512196742312,1.44458425226807,3
1976,"historical",1.86485289522769,0.766571111700308,1.09240246039503,2.62540619546519,1.48457624510894,2.25107811264402,2.01879104041365,1.08316443633586,0.976410273641855,3.13858559095926,1.45889376514084,2.53998142379955,1.95783132747249,0.958704957324074,1.02074793903418,2.93678583259326,1.4683540749121,2.42637302169164,3
1977,"historical",0.397928390774988,1.34795932724283,-1.09387240722801,1.52839625097044,-0.167305539322736,1.14382878977649,0.68269347371279,1.43903886890261,-0.812139096846681,2.05855192475515,-0.00523575180839125,1.43010975899252,0.570864433810517,1.39890832134794,-0.922941135245435,1.85007651088334,-0.0687416047258925,1.31776721833849,3
1978,"historical",0.520450781597509,0.680505205820139,0.0699355765785179,1.30326050963728,0.129045917577621,0.745708384107004,0.880900820325005,1.04618315351118,-0.141806242596539,1.94907738316863,0.346812538903192,1.39225435178578,0.737939689851826,0.873353826674553,-0.0156790664604208,1.6950860254455,0.259366522054989,1.11474906800795,3
1979,"historical",1.02702214805373,1.16269068065423,-0.259874607906116,2.00178936568093,0.539638539240123,1.67047052603365,1.14741898139028,1.56166292761995,-0.562877246257057,2.49749760525954,0.472379669455657,2.00256709521395,1.10069719497835,1.40481659844151,-0.443710258427177,2.30256810527312,0.49976173983096,1.87290092168111,3
1980,"historical",0.7709573829428,0.983918488728682,-0.327332393107242,1.57192615452555,0.370472997151427,1.32010227096782,1.06605506970954,1.45238413861376,-0.594460287990718,2.09987169881249,0.549146755158062,1.89631274855967,0.950459737927416,1.24718470993037,-0.489402369116329,1.69421378892595,0.578582712428149,1.67039079144929,3
1981,"historical",-0.964494537566527,1.610553650689,-1.90339920237114,0.895183166692364,-1.89433338969597,-0.49504220516422,-1.15257563101955,1.53958725040329,-2.08752025843444,0.624376659379171,-2.04105177621892,-0.68510331731211,-1.07960395311624,1.56553077993568,-2.00797691532776,0.7278916343392,-1.98335174684395,-0.615417472010472,3
1982,"historical",-0.0102425901856334,0.969415228662936,-1.09315199608025,0.776663328958166,-0.403695549757533,0.531212112761676,0.687114273771733,1.77903610195857,-1.28873079675696,2.16185982104612,-0.0502584998654614,1.67503680903608,0.412157482627132,1.46179044274547,-1.21397138696424,1.61715299951905,-0.190340275818827,1.22522191742282,3
1983,"historical",-0.378919042862127,1.38718309667492,-1.76377700368492,1.01057755619176,-1.07366734238907,0.313509937549271,-0.459339070586753,1.62416005077488,-2.30966490168331,0.730619255827522,-1.05431823379389,0.465823844961527,-0.428750741804176,1.50665497798426,-2.09500303708345,0.837632476224556,-1.06194235081854,0.404375405835463,3
1984,"historical",-0.711279025877244,2.76351182981815,-3.7246514971797,1.70463072214166,-1.9192338998867,0.795407209773986,-0.937336150664208,3.23290084827206,-4.43287551217744,1.94513671764499,-2.37857258481881,0.810433530092407,-0.849217720580085,3.0478944959299,-4.15437751254921,1.85054884476328,-2.19910100325177,0.803362175404474,3
1985,"historical",1.5243297368802,0.74582395030745,0.730644104185617,2.21065606259005,1.18116657402527,1.92117255322749,2.24009674905318,0.731394482177866,1.66024340077515,3.06178037841544,1.82925493437205,2.53002342319219,1.95996022227702,0.721583346554325,1.29469303948609,2.72704427995213,1.57641819343946,2.29259381367248,3
1986,"historical",0.410751991143289,2.17809843596155,-1.37723027940814,2.83655654419659,-0.802150285383362,1.304743126419,0.547296523533,2.77613270821649,-1.55354147409357,3.69456377494487,-1.02633710217293,1.59771552234629,0.492941742962576,2.54004904112972,-1.48614704888529,3.35712071576559,-0.93914774343893,1.48248613888651,3
1987,"historical",0.155237137974648,1.68041229616264,-1.75353163198432,1.41167585948418,-0.472982222780119,1.10962152295413,-0.094247967341081,2.02108271171877,-2.35676637713845,1.53252426625058,-0.907634084136911,1.0370112375576,0.00430541048620266,1.88668053122993,-2.11955376322813,1.4863303253276,-0.736707046934494,1.06623499734337,3
1988,"historical",-0.108208206215922,2.44344642429945,-2.85750841207368,1.81547897376208,-1.07005179620492,1.26644189671296,-0.348070356394542,2.4180847201417,-2.94415020642457,1.84014414306294,-1.44217760612328,0.94996956862047,-0.253646451919816,2.42161817321246,-2.9100796780325,1.83071595609692,-1.29582765592818,1.07457016113653,3
1989,"historical",0.563187189770392,1.87061941575643,-1.0757529036896,2.60110851830937,-0.455773474499095,1.38265723650038,0.8294466584785,2.38753424973759,-0.989447467901484,3.53306147063605,-0.522360747600275,1.73889372166849,0.72393894589719,2.17981056809913,-1.0233902707503,3.16658557109818,-0.497384366703305,1.59760355422094,3
1990,"historical",-0.675966886830712,0.928367660204638,-1.74733059230122,-0.108640595971024,-0.959630032260556,-0.140285034095458,-0.679865349644614,1.11063165240163,-1.92121291559655,0.219725683954672,-1.12966086644426,-0.0591915666686449,-0.679179625812291,1.02863045668912,-1.85283641581263,0.0656928165071259,-1.051615846972,-0.0923512308121213,3
1991,"historical",-0.0575832964080041,1.0140666934335,-1.02098484132843,1.00050654271192,-0.586628215967968,0.424117476052208,-0.0371082898517184,1.45828004533516,-1.52977451876111,1.38416284948213,-0.747743859518644,0.709224824602975,-0.0437579180991503,1.28361254430734,-1.32970094825822,1.23751137724611,-0.684392565771779,0.599213596980382,3
1992,"historical",-0.827817280194198,1.8014705699453,-2.84321844419628,0.625881985082174,-1.55466691283238,0.179883301806844,-0.865220542469255,2.1432746933671,-3.29631198144069,0.751538614911663,-1.67360012115971,0.350325177016464,-0.850055860742178,2.00851981901877,-3.11814004559148,0.703506745148214,-1.62683716368737,0.28398623168247,3
1993,"historical",0.630111479792602,1.26871558699484,-0.114057080578665,2.09503568695742,-0.102350623789807,1.00219575997824,1.0357986066666,1.68110952427011,0.00665976277885466,2.9757746943002,0.0658105628498025,1.55036802861048,0.876706835499364,1.51843196194099,-0.0394838884257897,2.62943787636511,0.000341315066489614,1.33480219746194,3
1994,"historical",0.589479099387115,0.955194909675128,-0.501202851354246,1.27697132242922,0.245732987866065,1.1348200747578,0.732586404218217,1.19987144366221,-0.501402232279158,1.89514970533025,0.151304753662203,1.3495807224669,0.676314277764181,1.09079763222356,-0.501326019518774,1.65206073996678,0.188441046662879,1.26513442640566,3
1995,"historical",-0.224400431809919,0.553753229793235,-0.838794837977167,0.236199100979729,-0.454700198204743,0.0827967712737049,-0.277960223594896,0.571167767890486,-0.905283339335206,0.212001931042266,-0.522941300913477,0.0357013342752585,-0.256986067385065,0.564134301071384,-0.879137777712944,0.2212512266557,-0.496104714405448,0.0540897877788743,3
