model,scenario,tcb_mean_change,tcb_sd_change,tcblog10_0_mean,tcblog10_1_mean,tcblog10_2_mean,tcblog10_3_mean,tcblog10_4_mean,tcblog10_5_mean,bp30cm_mean,bp30to90cm_mean,bp90cm_mean
cesm2-waccm,ssp126,-21.892410104107654,2.775970146102646,-18.33436928279548,-20.758985614399275,-30.120525434091014,-31.546189754859466,-4.489254262318026,-23.60622876044799,-21.462915372375317,-12.015851111373523,-28.62404375462985
cesm2-waccm,ssp534-over,-5.934965306429891,2.562455495988471,-5.622527204942955,-3.8480517408742725,-8.48497371516003,-13.022346501222744,0.5594321649237802,-2.6880918999240286,-5.1733427251326765,-4.3101515629794855,-9.643495506493991
cesm2-waccm,ssp585,-33.52604613782601,2.2825971001218934,-36.058342158515046,-33.55942500615984,-34.28328296002234,-40.5701810682149,-27.75135176597205,-33.57653573222493,-31.908626993899958,-32.534572955784355,-40.12817545586116
ipsl-cm6a-lr,ssp126,-1.7479688731831775,1.0197071027421922,-2.3766127587936854,-1.6884361757901836,-1.0864592103998236,-4.402102649673176,-2.279739181168938,-1.0959223033939078,-1.4189673250413044,-3.0426478443746494,-2.4282193332192668
ipsl-cm6a-lr,ssp534-over,-0.8834124102211985,0.986334075652078,-1.8213098958382636,-0.9954022360539104,0.19362503457911687,-3.167567670904539,-1.859004384996685,-0.3642840875441722,-0.516643540633273,-2.5139573701654028,-1.5501598541176143
ipsl-cm6a-lr,ssp585,-19.868532576770043,0.4579419444836686,-28.080131631822365,-20.381225858102052,-21.611063558119533,-41.543850016284274,-31.2434499729251,-12.703015010287366,-17.520844435255974,-36.57981346755157,-21.067356720128075
ukesm1-0-ll,ssp126,-7.7754397194643206,0.8551283354423921,-7.371292746463203,-9.37195692325603,-6.977283601691244,-7.160656829717988,-6.037529637418541,-10.795725458342517,-7.203946291129402,-5.995868743579271,-10.261029947046607
ukesm1-0-ll,ssp534-over,-8.116589147899685,0.860271924320777,-7.964901342713997,-9.354752711612482,-7.301484074817354,-8.174211469980415,-6.735079792529274,-10.573220442242445,-7.491827659287754,-7.072812901466757,-10.511441952557654
ukesm1-0-ll,ssp585,-36.69829815760791,0.7976913879901197,-39.68790126331326,-39.35629145819854,-36.16533767278965,-37.505605077932444,-38.06835953562518,-40.83755491271555,-35.82823419771096,-38.89313181232799,-38.72885327062823
