"Date","scenario","Zoop_Mean","Zoop_SD","Zoop_Min","Zoop_Max","Zoop_Q25","Zoop_Q75","Fish_Mean","Fish_SD","Fish_Min","Fish_Max","Fish_Q25","Fish_Q75","TCB_Mean","TCB_SD","TCB_Min","TCB_Max","TCB_Q25","TCB_Q75","n_models"
1970,"historical",0.930274918205339,1.63740636281227,-0.335668191103913,2.77944572872736,0.0056895129443269,1.56324647285997,1.18850801158786,2.09641072131619,-0.0507216331612181,3.60900326534333,-0.0217396152898781,1.8081228339624,1.08545513120363,1.90629886116051,-0.127665070094416,3.28268486473178,-0.0131597355604436,1.69201523185265,3
1971,"historical",0.214018314670415,0.225796400707696,-0.0390436918054687,0.394897549078748,0.123578697466248,0.340549317908356,0.26785037705021,0.208922703749879,0.0605576348805268,0.47836575872741,0.162592686211611,0.371496748135052,0.246593392491255,0.213297730868863,0.0213726009217911,0.445532336725638,0.147123920374064,0.359203788275987,3
1972,"historical",-1.2094255217682,2.43243282871643,-3.88583214059116,0.866588857130515,-2.24743271121755,0.128777787643282,-1.2399636151697,2.31357154754842,-3.71332436921286,0.871061225375773,-2.29547603544244,-0.00328323814812459,-1.22792965220718,2.35855888516267,-3.78118278477119,0.869351436738787,-2.27657019668016,0.0486969140748297,3
1973,"historical",1.08356097293326,2.56503361836821,-1.6048079694103,3.50426845163485,-0.126792766417538,2.42774544410504,1.1756307504828,2.89719691509076,-2.02656530705241,3.61530213420563,-0.0442049413786154,2.7767287792504,1.13983091372126,2.76083409034825,-1.86063804335286,3.57285390132934,-0.0766805800827834,2.64006539225832,3
1974,"historical",1.24213924499275,1.20103225228097,-0.143679202890282,1.98097115558694,0.872723289695655,1.93504846893426,1.72165711789631,1.21369218892514,0.354792648039153,2.67306299003478,1.24595418182707,2.40508935282488,1.53393739814575,1.20441803050184,0.158684452937264,2.40081870253831,1.10049674594947,2.22156387074999,3
1975,"historical",1.66214293684065,0.973172667318415,0.840099688865364,2.73667696784064,1.12487592134066,2.0731645608283,1.63990740850272,0.659869324561304,1.1615865619588,2.39271596164388,1.26350313193215,1.87906783177469,1.64737972840469,0.779007397026243,1.03510758362982,2.5242124278815,1.20896337866629,1.95351580079212,3
1976,"historical",0.946957153224198,0.2611311990995,0.65045205352811,1.14267598093139,0.8490977393706,1.09520970307224,1.11308526779683,0.205073760135217,0.98338251159923,1.34951212016878,0.994871841610852,1.17793664589562,1.04714966383315,0.0260612499421163,1.02264172797841,1.0745267782139,1.03346110664277,1.05940363176052,3
1977,"historical",0.214391849707466,0.633766612245179,-0.464693007124214,0.790139563231734,-0.0734820070546676,0.553934278123306,0.385819574503926,1.10191473010535,-0.569559509540898,1.59128255431477,-0.216911915401497,0.863509116526339,0.317716727473997,0.907458604772911,-0.52830305648895,1.27614142428801,-0.161495620933009,0.740726619455471,3
1978,"historical",1.20923587453509,0.241818834733718,0.984219352664691,1.4649294087912,1.08138910740704,1.32174413547029,1.53799732829826,0.316516570948859,1.24517409680312,1.87381236536599,1.3700898097644,1.68440894404584,1.40785808935843,0.102578669748781,1.32918666346845,1.5238781458734,1.34984806110095,1.44719380230343,3
1979,"historical",1.70603940637039,1.46309770461666,0.503954321809729,3.33513762825282,0.891490295429175,2.30708194865072,2.11882825917657,1.67806897654244,0.571418226828806,3.9025120542742,1.22698636162775,2.89253327535045,1.95668968172069,1.58991464777383,0.545626741896575,3.67932715500554,1.09537094507826,2.66222115163274,3
1980,"historical",1.09350597963976,1.78267740425717,-0.775441883931291,2.77511720810441,0.252700365407437,2.02797991142529,1.33934212590297,2.69961707730585,-1.29730766126862,4.09780270369959,-0.0398881629953385,2.65766701948877,1.24241491138066,2.33475066239982,-1.09199585582114,3.5775053205965,0.0748697067727361,2.40962029498156,3
1981,"historical",-1.55100776047422,2.30883227537291,-3.78364315581405,0.827138320697374,-2.74008080106001,-0.434690062804302,-1.77965640208148,2.18175943376009,-3.86894353246343,0.48409900864149,-2.91153410744297,-0.735012836890514,-1.69097461259587,2.22972365582521,-3.83538940119323,0.615243110743959,-2.84408347426579,-0.618767218297192,3
1982,"historical",0.434825680916806,1.04606302323064,-0.754244946269183,1.2132934039516,0.0455918193994075,1.0293609945098,0.933237380828727,1.67708226278589,-1.00153600966245,1.97199537097982,0.413858385753179,1.90062407607431,0.736254204913796,1.4277865970133,-0.906996511339904,1.67350775709204,0.267627428824675,1.55787956304065,3
1983,"historical",0.129980931792951,0.46239947885731,-0.36301582080079,0.554043182502753,-0.0820501935619504,0.376479308089821,0.20316064182719,0.596068122078818,-0.323619754077824,0.850183498746821,-0.120350786632625,0.466550839779697,0.172625047904232,0.473063322183052,-0.339116764129546,0.593962401145792,-0.0380436287165483,0.428495953921121,3
1984,"historical",-0.764041439078739,4.43278445402024,-5.67211310793737,2.94804939645902,-2.62008685684762,1.68999439535058,-0.979755923525166,4.93788389114901,-6.41511501911377,3.22968464701057,-3.08447620879303,1.73792362426914,-0.895591770271228,4.73872426285914,-6.1228445199565,3.11888404601425,-2.90282967841396,1.71803460457141,3
1985,"historical",1.75563243893978,0.484984953382036,1.21437765194485,2.15073009665033,1.55808361008451,2.02625983243725,2.49643865582318,0.506353548265701,1.98792326949505,3.00060231578662,2.24435682584146,2.75069634898725,2.20630295013404,0.463701548796353,1.68363796368158,2.56830872834006,2.02530006103103,2.46763544336027,3
1986,"historical",0.0331614479471234,1.1260743085874,-0.98841369358611,1.2406064101994,-0.570561033179015,0.54394901871374,-0.0233977240307529,1.32873331731054,-1.20460603932669,1.41519960306959,-0.742696387580923,0.567206433617215,-0.0019498349035319,1.24999047664068,-1.12195559645571,1.34651135945663,-0.676180432083613,0.558053045872559,3
1987,"historical",-0.0550032182586229,2.31291071277176,-2.70950755785996,1.52673077512209,-0.845870214948981,1.27224895154204,0.0162745429248619,2.47760282009539,-2.80551287137166,1.83539928212841,-0.893287826676913,1.42716825007312,-0.0106252534412751,2.41317534318385,-2.76774779906197,1.71739515614051,-0.874635458232169,1.36793601936907,3
1988,"historical",0.54889392898266,0.861549014397731,-0.248971528969367,1.46243790683005,0.0921219400589673,0.947826657958674,0.582372368397458,0.418315853589075,0.190212666323045,1.02267799492865,0.362219555131863,0.778452219434665,0.568314930795901,0.544066998791278,0.22614424517629,1.19568780970625,0.254628491340728,0.739400273605707,3
1989,"historical",0.13711668073086,1.39853353140375,-1.43859082800812,1.23116550958449,-0.409907733695957,0.924970435100347,0.0979910718497112,2.01244920291341,-2.02912485767119,1.97178675548694,-0.838906769968902,1.16154903661016,0.112406003489823,1.7635500077012,-1.79679767111585,1.68045272529089,-0.671617357410713,1.06700784079266,3
1990,"historical",-0.216399546667957,0.566953969660583,-0.552178489320892,0.438189195222018,-0.543693917612945,-0.04851007534149,-0.228021216291223,0.887724088450747,-0.74697228303592,0.79700731979166,-0.740535484332664,0.0314543170811254,-0.224127086717749,0.762075299203131,-0.664550502780609,0.655841525478527,-0.664111392815887,-0.0039153786863193,3
1991,"historical",-0.334602097451013,1.9098651804874,-2.22417366248473,1.59492958279793,-1.29936793757549,0.610183685065846,-0.318095329294966,2.30805884771163,-2.68074384316821,1.93119645730692,-1.44274122259591,0.863228927641658,-0.323351443319142,2.15236098848447,-2.5011453891112,1.80264146149614,-1.38634789572678,0.765545529576888,3
1992,"historical",-1.28694447932636,1.51407048494015,-2.89822542540742,0.106267025985165,-1.98355023198212,-0.481304006285827,-1.31326386084815,1.64568898469821,-3.02046807680382,0.263098621060358,-2.1014451018024,-0.459661752870308,-1.30233030496365,1.59414648789677,-2.97238216988419,0.203141823123213,-2.05506636900709,-0.467304372503384,3
1993,"historical",1.15315709311785,1.825591124248,-0.0873993583119654,3.24942573920986,0.105022770071846,1.77343531883276,1.4665510483355,2.25528829405771,-0.038353493735934,4.05959344994166,0.170029847532422,2.21900331937122,1.34345243518244,2.08603938178964,-0.0571037525127311,3.74090231650732,0.144727494520001,2.04373052903003,3
1994,"historical",0.389855354926234,1.74612389295456,-1.60385099648714,1.64709264650267,-0.238763290861982,1.38670853063292,0.675038087923399,1.94446073134456,-1.51311624085443,2.20490535182026,-0.0898955440250337,1.76911525231231,0.563188227048976,1.86460637914296,-1.54780418371911,1.98548169305564,-0.147958505954357,1.61868443243302,3
1995,"historical",-0.321278221110983,0.508818636955004,-0.890049437225786,0.090664758753046,-0.527249711042998,-0.0368926130535815,-0.379614952791154,0.759213272009427,-1.21444353911293,0.269533489752713,-0.704189174063088,0.037799340369732,-0.356779341813909,0.660444912121296,-1.08683844866018,0.199163169079435,-0.63475059726058,0.00825021160922863,3
1996,"historical",-0.384073854310724,1.35314396039601,-1.59143511140639,1.07850587989765,-1.11536372141491,0.219606774237109,-0.554687840631543,1.32947065555065,-1.62554520728786,0.933337609003686,-1.29870056544916,-0.019259157303384,-0.488103717850048,1.33591322340201,-1.61212750997159,0.988835512220849,-1.2265733328855,0.07390817821072,3
1997,"historical",0.579287038232021,0.794227248799662,-0.100429928063774,1.4523298769579,0.14276561886908,0.919145521379919,0.403762168251685,0.754479944313643,-0.253077248792703,1.22782436035868,-0.00826892780181288,0.732181876773878,0.472247154518974,0.770810178528999,-0.194720101049585,1.31613683763902,0.0503023129589514,0.805730782303253,3
1998,"historical",-0.00403722624549144,0.466486780871788,-0.496429898024913,0.431294006772078,-0.221702842754276,0.242159109644219,-0.0639640145822137,0.563190610442365,-0.43125809670453,0.584446360466134,-0.388169202106387,0.119683026478944,-0.0401533753653525,0.506734961860455,-0.456173309236115,0.524193345972856,-0.322326736034457,0.167856591570029,3
1999,"historical",0.425035938836423,1.22449648241679,-0.687148857121391,1.73722050724253,-0.231056345366629,0.98112833681533,0.312295909928645,1.70741354957087,-1.24024825236977,2.14093009479644,-0.602021182505254,1.08856799107785,0.355957453279485,1.51760709104381,-1.02264855458973,1.98212511610919,-0.457126378135369,1.04526045721409,3
2000,"historical",-2.03969570154551,1.49142545496974,-3.36809328496197,-0.426355306591646,-2.84636589902244,-1.37549690983728,-2.16639307957222,1.79239508801917,-3.83216269533663,-0.269746624537653,-3.1147163070895,-1.33350827169001,-2.11597595756978,1.67436371856533,-3.64961431131018,-0.329618202714299,-3.00915483499752,-1.34915678069958,3
2001,"historical",-1.52114495473446,0.570443090452622,-1.91884304302058,-0.867562480574082,-1.84793619181464,-1.32229591059139,-1.65798002547433,0.555123618142701,-2.18035743143321,-1.07507154422878,-1.94943426609711,-1.3967913224949,-1.60563767723467,0.542391476705431,-2.02616489878475,-0.993433578384314,-1.91173972665986,-1.39537406645964,3
