ESM,Scenario,Historical Mean (1985-2014),2100 Value,2300 Value,Change 2100 (%),Change 2300 (%)
cesm2-waccm,ssp126,145.5631151366083,131.6767246038922,NA,-9.53977284677095,NA
cesm2-waccm,ssp585,145.5631151366083,111.38270624464809,NA,-23.481504129588412,NA
ipsl-cm6a-lr,ssp126,178.35497953608444,171.97057309516444,175.69514565667114,-3.57960650020894,-1.4913146166884372
ipsl-cm6a-lr,ssp585,178.35497953608444,158.53429491319793,138.98479961963838,-11.113053683413664,-22.074057039983437
ukesm1-0-ll,ssp126,364.31376898128735,342.62005137272456,347.0668985719744,-5.954679579974116,-4.734070429876848
ukesm1-0-ll,ssp585,364.31376898128735,291.37734630380663,219.26744373482245,-20.020221272841056,-39.81357214470669
